ESTACION,EXPLICACION
Ciudad Vieja 3,Corresponde a E1 (Ciudad Vieja) Ubicacion  Academia Uruguay
Ciudad Vieja 1,Corresponde a E1 (Ciudad Vieja) Ubicacion  sede AEBU
Ciudad Vieja 2,Corresponde a E1 (Ciudad Vieja) Ubicacion  museo Romántico
Centro,Corresponde a E2 (Centro) Ubicacion edificio sede de Intendencia
Tres Cruces,Corresponde a E5 (Tres Cruces) Ubicacion Universidad Católica Dámaso Antronio Larrañaga
Tres Cruces 2,Corresponde a E5 (Tres Cruces) Ubicacion Shopping Tres Cruces
Curva de Maronas,Corresponde a E6 (Curva de Maroñas) Ubicacion Edificio Municipio F
Portones de Carrasco,Corresponde a E7 (Portones de Carrasco) Ubicacion Shopping Portones
Portones de Carrasco 2,Corresponde a E7 (Portones de Carrasco) Ubicacion Policlinica Lugo
La Teja 1,Corresponde a E3 (La Teja) Ubicacion Biblioteca Municipal
La Teja 2,Corresponde a E3 (La Teja) Ubicacion Comisaría 19
Colon ,Corresponde a E8 (Colón) Ubicacion Laboratorio MTOP
Colon 1,Corresponde a E8 (Colón) Ubicacion Laboratorio MTOP 2
Goes,Corresponde a E9 (Goes) Ubicacion CCZ3
Prado,Corresponde a E4 (Prado) Ubicación Museo Blanes